Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,1000000000,16000,2,3.0375311374664307,49.0
pythia,160000000,16000,64,2.788571357727051,284.0
pythia,31000000,128000,32,inf,8.0
pythia,1000000000,16000,128,2.3525454998016357,125.0
pythia,1000000000,4000,8,3.055164337158203,62.0
pythia,70000000,4000,32,3.2917063236236572,883.0
pythia,2800000000,64000,16,2.4953362941741943,36.0
pythia,2800000000,1000,1,4.283454418182373,19.0
pythia,1400000000,16000,128,2.281290292739868,98.0
pythia,14000000,2000,4,4.951493740081787,465.0
pythia,2800000000,4000,128,2.394083023071289,76.0
pythia,70000000,4000,16,3.4759206771850586,481.0
pythia,70000000,4000,1,3.921090602874756,138.0
pythia,70000000,4000,128,3.0202503204345703,1000.0
pythia,410000000,1000,32,3.8911139965057373,100.0
pythia,410000000,128000,2,2.9693050384521484,25.0
pythia,410000000,64000,1,3.055734157562256,45.0
pythia,410000000,8000,4,3.123725652694702,68.0
pythia,31000000,4000,128,3.5061662197113037,1000.0
pythia,410000000,8000,8,3.027272939682007,76.0
pythia,31000000,128000,2,inf,15.0
pythia,1000000000,16000,64,2.5067496299743652,105.0
pythia,70000000,8000,4,3.670402765274048,220.0
pythia,1000000000,32000,2,2.97784423828125,45.0
pythia,1000000000,4000,1,3.341377019882202,45.0
pythia,1400000000,1000,16,3.769775390625,47.0
pythia,2800000000,64000,32,2.3825531005859375,44.0
pythia,2800000000,2000,1,3.5951321125030518,25.0
pythia,14000000,16000,8,4.284324645996094,391.0
pythia,160000000,8000,4,3.356466293334961,124.0
pythia,2800000000,128000,2,2.692887544631958,22.0
pythia,31000000,16000,2,4.042910575866699,179.0
pythia,1000000000,4000,64,2.6448395252227783,109.0
pythia,160000000,1000,2,4.462737560272217,68.0
pythia,2800000000,32000,64,2.307243585586548,62.0
pythia,410000000,32000,4,2.9642632007598877,66.0
pythia,160000000,16000,1,3.424473285675049,68.0
pythia,1000000000,2000,2,3.6262402534484863,39.0
pythia,2800000000,128000,8,2.51771879196167,24.0
pythia,1000000000,1000,16,3.769704818725586,64.0
pythia,31000000,32000,64,3.3536741733551025,773.0
pythia,160000000,32000,2,3.334336280822754,96.0
pythia,1400000000,32000,64,2.3837971687316895,77.0
pythia,160000000,128000,16,inf,10.0
pythia,1000000000,128000,8,2.666294813156128,31.0
pythia,2800000000,1000,16,3.7650835514068604,39.0
pythia,410000000,2000,16,3.3720691204071045,83.0
pythia,2800000000,32000,4,2.7318198680877686,31.0
pythia,1400000000,8000,4,2.9571268558502197,48.0
pythia,1000000000,8000,4,3.019840717315674,51.0
pythia,2800000000,1000,32,3.5526247024536133,52.0
